# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 09 Sep 2021 03:05:13 +0200
#
# IP	number of (black)lists
#
141.98.10.179	9
171.25.193.20	9
45.155.204.39	8
89.234.157.254	8
162.247.74.74	8
104.244.78.233	8
171.25.193.77	8
171.25.193.78	8
198.98.52.69	8
104.244.76.50	8
137.184.49.148	8
222.187.232.60	8
185.100.87.72	8
192.42.116.18	8
117.248.249.70	8
77.247.181.165	8
176.10.99.200	8
136.144.41.144	8
137.184.31.232	8
222.168.30.19	8
139.59.102.241	8
209.141.36.53	8
104.248.93.211	8
179.43.176.31	8
185.31.175.226	7
80.82.77.33	7
107.189.7.132	7
162.247.74.206	7
37.0.10.41	7
107.189.3.220	7
209.141.57.50	7
91.250.242.12	7
185.107.47.215	7
205.185.127.100	7
199.195.252.247	7
185.220.102.242	7
199.195.249.177	7
116.98.160.162	7
164.90.205.124	7
45.144.225.136	7
199.195.254.38	7
198.98.52.231	7
192.42.116.20	7
45.144.225.231	7
185.107.47.171	7
185.220.101.1	7
107.189.1.128	7
80.82.77.139	7
222.187.254.41	7
107.189.31.109	7
198.98.50.192	7
104.244.72.69	7
185.220.101.4	7
162.247.72.199	7
45.153.160.129	7
185.220.100.254	7
185.107.70.202	7
107.189.28.182	7
94.230.208.147	7
107.189.14.142	7
185.220.102.4	7
109.70.100.20	7
176.111.173.156	7
107.189.8.14	7
185.130.44.108	7
199.195.248.37	7
107.189.14.165	7
198.144.121.93	7
107.189.8.254	7
107.189.12.134	7
141.98.10.125	7
176.10.104.240	7
60.170.247.162	7
222.187.227.122	7
162.247.74.27	7
93.174.95.106	7
107.189.14.122	7
178.73.215.171	7
107.189.12.234	7
171.25.193.25	7
5.199.130.188	7
122.154.72.102	7
107.189.12.214	7
198.98.53.240	7
199.195.248.246	7
198.98.49.168	7
64.113.32.29	7
209.141.55.232	7
199.195.250.77	7
45.129.56.200	7
163.172.213.212	7
205.185.113.39	7
104.244.75.122	7
163.172.29.30	7
205.185.114.54	7
105.203.195.68	7
107.189.14.193	7
45.153.160.130	7
45.153.160.137	7
107.189.14.56	7
107.189.13.12	7
104.244.78.197	7
107.189.13.170	7
107.189.12.163	7
222.187.254.38	7
137.184.78.156	7
107.189.14.55	7
185.165.190.34	7
209.141.34.36	7
104.244.73.49	7
176.111.173.85	6
128.31.0.13	6
143.110.248.63	6
162.247.74.202	6
162.247.74.204	6
198.98.48.135	6
216.186.250.53	6
163.172.47.98	6
139.59.102.170	6
5.183.209.217	6
89.163.249.244	6
221.181.185.198	6
143.198.42.44	6
221.131.165.23	6
222.186.30.112	6
221.181.185.19	6
92.246.84.133	6
46.38.235.14	6
195.176.3.23	6
195.176.3.20	6
106.51.3.154	6
45.61.187.179	6
89.163.249.192	6
107.189.14.68	6
185.220.102.248	6
209.141.43.141	6
41.226.25.4	6
205.185.122.230	6
199.195.253.187	6
46.101.131.186	6
198.98.58.250	6
199.195.249.89	6
185.83.214.69	6
5.2.69.50	6
164.52.24.164	6
82.200.65.218	6
196.38.70.24	6
185.220.103.8	6
198.98.58.70	6
185.220.101.9	6
185.220.101.8	6
185.220.101.7	6
185.220.101.3	6
124.79.244.108	6
60.8.87.190	6
23.129.64.154	6
185.247.225.55	6
101.69.200.162	6
27.116.18.155	6
165.227.124.168	6
221.181.185.94	6
107.189.1.100	6
178.20.55.18	6
178.20.55.16	6
185.247.225.73	6
62.210.37.82	6
89.144.12.17	6
222.186.42.213	6
199.195.249.28	6
221.181.185.140	6
222.186.42.137	6
209.127.17.242	6
192.160.102.170	6
185.220.100.253	6
185.220.100.252	6
185.220.100.255	6
192.42.116.16	6
59.36.78.217	6
103.10.169.212	6
107.189.12.197	6
185.220.101.250	6
198.96.155.3	6
197.156.72.154	6
91.219.237.21	6
185.31.175.252	6
185.220.101.24	6
185.220.101.22	6
192.42.116.17	6
192.42.116.13	6
137.184.31.84	6
166.70.207.2	6
61.12.38.162	6
179.43.141.99	6
175.207.13.22	6
68.183.120.12	6
104.244.79.251	6
221.181.185.223	6
199.195.249.128	6
107.189.31.16	6
107.170.20.247	6
45.153.160.140	6
77.247.181.163	6
67.205.128.206	6
107.189.12.136	6
66.240.219.146	6
179.43.147.67	6
83.111.151.245	6
49.232.161.195	6
198.98.51.254	6
24.224.178.87	6
222.186.180.130	6
185.31.175.235	6
185.31.175.231	6
192.241.217.25	6
213.158.29.179	6
93.115.1.195	6
107.173.209.244	6
162.247.74.216	6
207.244.70.35	6
66.230.230.230	6
45.144.225.69	6
222.186.42.7	6
91.219.236.228	6
198.144.120.177	6
167.86.94.107	6
193.189.100.202	6
121.165.140.242	6
189.113.131.44	6
182.74.25.246	6
49.231.182.35	6
213.152.102.45	6
209.141.32.203	6
213.202.216.189	6
185.220.102.253	6
80.67.172.162	6
104.244.72.168	6
8.209.91.186	6
163.172.61.214	6
111.67.196.97	6
185.220.101.148	6
221.131.165.56	6
205.185.126.99	6
23.129.64.164	6
51.210.80.127	6
222.186.30.76	6
205.185.121.102	6
89.163.252.30	6
195.254.134.194	6
95.128.43.164	6
87.118.116.103	6
104.244.76.13	6
185.31.175.207	6
221.181.185.151	6
221.181.185.159	6
158.69.63.54	6
45.153.160.133	6
45.153.160.132	6
45.153.160.136	6
45.153.160.135	6
45.153.160.138	6
149.202.238.204	6
192.160.102.165	6
185.247.225.61	6
185.220.100.240	6
185.220.100.241	6
185.220.101.17	6
185.220.101.12	6
107.189.13.19	6
104.244.76.98	6
107.189.13.3	6
80.82.70.228	6
185.31.175.247	6
209.141.54.195	6
182.61.16.130	6
109.227.63.3	6
210.206.92.137	6
89.163.243.88	6
185.142.236.34	6
195.206.105.217	6
31.27.38.242	6
185.220.101.16	6
221.181.185.135	6
212.192.246.95	6
222.186.42.13	6
199.195.249.4	6
141.98.10.250	6
45.93.201.148	6
213.61.215.54	6
104.244.73.43	6
2.236.108.242	5
122.176.87.177	5
162.253.42.247	5
138.197.195.123	5
23.95.132.48	5
182.72.142.62	5
163.44.197.129	5
196.0.105.5	5
120.70.103.40	5
143.198.163.146	5
139.59.121.221	5
1.15.150.10	5
36.133.35.228	5
157.230.13.180	5
180.76.124.150	5
211.159.154.77	5
218.206.136.24	5
186.85.159.135	5
147.139.135.198	5
185.31.175.220	5
205.185.116.44	5
185.6.91.219	5
110.45.155.101	5
40.73.119.184	5
106.54.112.173	5
201.217.195.226	5
185.46.15.254	5
211.202.26.43	5
95.50.91.18	5
139.59.36.24	5
198.199.64.97	5
163.172.88.135	5
104.236.248.184	5
81.68.200.73	5
192.241.206.232	5
161.35.179.74	5
106.12.110.65	5
42.200.71.74	5
200.105.183.118	5
111.93.24.98	5
119.91.80.2	5
103.44.251.151	5
119.97.252.154	5
36.134.155.34	5
118.68.169.168	5
119.29.170.170	5
104.236.109.59	5
107.189.12.240	5
165.22.120.146	5
124.43.9.184	5
154.160.74.91	5
97.105.212.218	5
60.30.98.194	5
180.250.248.169	5
165.232.128.175	5
162.247.74.200	5
121.131.164.62	5
159.65.180.64	5
185.62.189.163	5
116.193.190.233	5
185.180.143.143	5
134.122.62.253	5
95.180.102.154	5
106.13.27.134	5
80.14.253.7	5
192.144.232.129	5
175.138.108.78	5
196.1.97.216	5
167.99.44.117	5
197.230.33.2	5
139.199.205.185	5
147.182.167.216	5
106.52.216.170	5
45.61.188.118	5
114.35.137.221	5
143.244.164.143	5
175.209.89.234	5
167.71.95.5	5
81.86.82.68	5
106.13.26.165	5
183.223.24.161	5
77.109.173.12	5
159.89.236.71	5
176.111.173.218	5
41.111.133.103	5
139.215.217.180	5
82.65.173.65	5
91.231.213.51	5
167.172.170.145	5
175.27.236.167	5
180.76.60.141	5
165.227.211.13	5
119.84.122.107	5
138.68.131.236	5
111.231.195.159	5
116.247.81.99	5
138.197.66.124	5
185.117.215.9	5
1.234.27.10	5
46.102.175.102	5
41.215.138.42	5
178.62.81.36	5
157.245.54.200	5
118.193.47.131	5
168.128.130.59	5
49.232.215.196	5
118.194.233.231	5
200.123.142.111	5
180.76.103.174	5
81.4.110.153	5
104.236.72.182	5
216.106.160.66	5
142.93.245.183	5
115.238.62.154	5
210.21.226.2	5
167.249.169.107	5
2.42.138.122	5
181.53.251.181	5
211.241.177.69	5
185.31.175.228	5
221.226.184.179	5
192.227.194.32	5
109.70.100.25	5
109.70.100.27	5
109.70.100.22	5
157.230.151.241	5
112.64.32.118	5
128.199.118.48	5
58.33.49.196	5
200.29.120.94	5
185.38.3.138	5
128.199.27.179	5
71.6.199.23	5
120.35.26.129	5
159.203.73.181	5
64.227.28.59	5
202.51.74.123	5
101.251.197.238	5
99.229.36.82	5
195.24.207.199	5
103.152.79.161	5
103.136.40.88	5
152.136.157.234	5
178.128.116.50	5
202.201.13.134	5
200.146.232.97	5
188.254.0.112	5
178.62.199.240	5
58.226.35.76	5
117.4.244.25	5
131.72.69.106	5
106.53.32.15	5
100.37.240.142	5
121.5.144.142	5
157.230.183.86	5
165.22.217.96	5
23.95.164.237	5
101.255.81.91	5
179.27.60.34	5
149.56.44.47	5
138.197.21.218	5
62.210.125.18	5
202.96.98.106	5
195.154.164.18	5
188.214.104.146	5
213.141.131.22	5
164.90.219.138	5
161.35.235.27	5
66.96.237.170	5
103.233.1.97	5
132.255.29.233	5
138.117.180.70	5
118.25.182.61	5
200.196.230.126	5
139.155.88.85	5
195.176.3.24	5
81.25.152.139	5
106.52.51.246	5
14.136.104.38	5
178.150.165.98	5
198.23.148.137	5
144.86.173.154	5
144.86.173.157	5
144.86.173.150	5
78.196.138.44	5
108.36.253.227	5
110.11.234.191	5
138.68.75.113	5
188.128.39.113	5
134.122.126.197	5
43.231.129.180	5
200.237.128.225	5
157.245.101.31	5
202.170.57.253	5
163.172.36.126	5
181.28.101.14	5
139.59.186.178	5
125.91.15.199	5
136.144.41.137	5
114.67.89.247	5
185.114.183.95	5
213.27.189.252	5
148.72.212.161	5
36.22.187.34	5
91.123.202.234	5
115.236.52.122	5
68.183.134.255	5
180.76.96.164	5
27.156.4.179	5
114.67.219.159	5
128.199.206.90	5
195.154.187.14	5
190.112.41.86	5
178.128.221.237	5
171.244.18.14	5
163.172.183.250	5
159.89.114.40	5
119.45.199.177	5
202.165.25.216	5
195.122.226.164	5
103.81.115.131	5
200.41.86.59	5
94.102.49.190	5
167.172.246.83	5
81.71.141.18	5
111.229.219.39	5
45.144.225.119	5
209.141.53.124	5
36.134.113.153	5
185.220.102.244	5
185.220.102.246	5
185.220.102.240	5
185.220.102.243	5
185.220.102.249	5
60.250.164.169	5
45.55.36.216	5
64.31.23.110	5
121.170.121.89	5
109.65.36.215	5
91.132.147.168	5
76.186.120.184	5
5.182.210.216	5
210.104.112.207	5
161.35.108.241	5
212.129.250.242	5
181.167.237.19	5
213.6.203.226	5
45.55.88.16	5
206.189.233.23	5
41.203.156.254	5
138.197.212.204	5
167.99.251.39	5
138.197.194.81	5
121.147.52.42	5
42.200.109.74	5
175.211.138.144	5
158.101.12.235	5
178.128.254.128	5
188.166.226.67	5
89.144.207.111	5
209.141.40.252	5
188.187.0.42	5
45.119.215.150	5
45.55.189.252	5
189.207.242.90	5
5.101.99.198	5
69.172.75.131	5
148.70.195.242	5
211.46.4.196	5
23.95.166.48	5
213.174.106.178	5
186.67.248.8	5
103.85.168.162	5
167.71.228.31	5
185.242.113.224	5
174.138.24.157	5
195.29.51.136	5
187.141.150.34	5
109.201.133.100	5
190.56.224.166	5
37.139.3.151	5
72.42.162.79	5
51.182.150.114	5
64.227.126.250	5
107.170.134.125	5
120.92.110.194	5
143.244.165.222	5
202.134.116.59	5
159.65.235.114	5
171.39.0.3	5
138.197.180.102	5
220.130.178.136	5
120.48.25.245	5
168.196.96.37	5
1.15.186.85	5
167.248.133.16	5
1.251.239.18	5
190.216.236.62	5
128.199.106.232	5
163.172.37.30	5
195.224.138.61	5
101.34.32.243	5
200.148.108.181	5
111.1.165.12	5
161.97.146.245	5
8.208.11.129	5
103.226.250.228	5
159.75.138.194	5
202.47.116.107	5
180.68.106.119	5
191.100.20.174	5
144.21.105.112	5
104.244.76.170	5
81.70.134.201	5
95.216.117.32	5
41.76.175.89	5
121.149.38.170	5
123.31.38.172	5
165.232.154.119	5
81.70.146.205	5
104.131.180.54	5
185.207.232.232	5
142.93.212.91	5
104.244.72.36	5
134.209.64.28	5
159.203.123.196	5
111.161.74.113	5
159.89.112.44	5
139.59.42.229	5
157.245.189.95	5
220.88.1.208	5
190.24.6.162	5
172.105.77.209	5
82.196.9.161	5
160.124.156.76	5
162.247.74.201	5
58.240.78.202	5
168.232.197.12	5
138.68.64.178	5
36.82.106.238	5
49.235.61.62	5
121.120.80.170	5
23.251.102.74	5
190.202.54.12	5
49.236.195.150	5
79.120.54.174	5
49.234.99.246	5
89.132.226.36	5
159.65.128.182	5
182.75.139.26	5
